wavelength_muv calibration_curve solar_continuum co_cameron co2_uvd o_2972 no_nightglow
1.738780275909844875e+02 1.177038284406469988e-03 5.687667871825397015e-04 3.716483188327401876e-04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.745394276008401278e+02 1.177038284406469988e-03 8.489688043482601643e-04 6.544528878293931484e-04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.752008276106957396e+02 1.177038284406469988e-03 7.827798835933208466e-04 8.951708441600203514e-04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.758622276205513799e+02 1.177038284406469988e-03 6.441549630835652351e-04 1.758026191964745522e-03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.765236276304069918e+02 1.177038284406469988e-03 1.150778960436582565e-03 2.234217245131731033e-03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.771850276402626321e+02 1.177038284406469988e-03 9.441947331652045250e-04 2.497076522558927536e-03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.778464276501182439e+02 1.177038284406469988e-03 1.182661158964037895e-03 4.642658401280641556e-03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.785078276599738842e+02 1.177038284406469988e-03 4.500544455368071795e-04 4.906961228698492050e-03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.791692276698295245e+02 1.177038284406469988e-03 1.343744806945323944e-03 7.311794441193342209e-03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.798306276796851364e+02 1.177038284406469988e-03 1.085347379557788372e-03 1.476987637579441071e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.804920276895407767e+02 1.115430768526517102e-03 1.111449557356536388e-03 1.394194923341274261e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.811534276993963886e+02 1.047436511846908504e-03 8.919347892515361309e-04 1.664548553526401520e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.818148277092520289e+02 9.893410554704337202e-04 7.989944424480199814e-04 1.600504852831363678e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.824762277191076407e+02 9.354638652132191970e-04 1.322806812822818756e-03 1.769848167896270752e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.831376277289632810e+02 8.876195380676113814e-04 1.537703210487961769e-03 2.709216251969337463e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.837990277388189213e+02 8.474819490380824678e-04 1.164021436125040054e-03 2.188090048730373383e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.844604277486745332e+02 8.123384915112801495e-04 1.097829663194715977e-03 2.223030850291252136e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.851218277585301735e+02 7.845886180271237440e-04 1.513784285634756088e-03 2.789992094039916992e-02 0.000000000000000000e+00 0.000000000000000000e+00 8.665058761835098267e-03
1.857832277683857853e+02 7.606013444414306364e-04 1.498965779319405556e-03 2.607436105608940125e-02 0.000000000000000000e+00 0.000000000000000000e+00 1.975678093731403351e-02
1.864446277782414256e+02 7.359617855454945751e-04 1.764701912179589272e-03 4.898161813616752625e-02 0.000000000000000000e+00 0.000000000000000000e+00 2.715973928570747375e-02
1.871060277880970375e+02 7.104954318821477812e-04 1.995435450226068497e-03 6.752045452594757080e-02 0.000000000000000000e+00 0.000000000000000000e+00 2.727778814733028412e-02
1.877674277979526778e+02 6.913205836212253912e-04 2.231561578810214996e-03 5.363782122731208801e-02 0.000000000000000000e+00 0.000000000000000000e+00 1.472995337098836899e-02
1.884288278078083181e+02 6.777097699191865368e-04 2.516006119549274445e-03 7.387695461511611938e-02 0.000000000000000000e+00 0.000000000000000000e+00 1.745160482823848724e-02
1.890902278176639300e+02 6.656599044714920374e-04 2.414833055809140205e-03 7.395730912685394287e-02 0.000000000000000000e+00 0.000000000000000000e+00 4.470884427428245544e-02
1.897516278275195702e+02 6.542074191498673408e-04 3.143110079690814018e-03 5.724273994565010071e-02 0.000000000000000000e+00 0.000000000000000000e+00 1.636648178100585938e-01
